Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Rishi Dhawan,All-Rounder ,26,17,153,0,0,13,4,21.85,113.33,6,0,2,1,25,81.2,1,640,18,0,0,35.55,7.86,27.11,25,ALL-ROUNDER,0.5,0.55,1,1
Riyan Parag,All-Rounder ,30,23,339,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,0,0,73.66,9.96,44.33,15,ALL-ROUNDER,0.3,3.8,0,1
Robin Uthappa,Batsman ,193,186,4722,0,25,462,168,27.94,130.15,87,32,7,9,,,,,,,,,,,,BATSMAN,2,2,1,1
Romario Shepherd,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.75,7.75,1,0
Rovman Powell,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.75,2.8,1,0
Sam Billings,Wicket-Keeper ,22,19,334,0,3,31,10,17.57,133.6,13,0,3,1,,,,,,,,,,,,WICKETKEEPER,2,2,1,0
Sandeep Sharma,Bowler ,99,25,52,0,0,4,0,8.66,81.25,12,0,9,1,99,366.2,8,2849,112,9,0,25.43,7.77,19.62,99,BOWLER,0.5,0.5,1,1
Sanjay Yadav,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.5,0,1
Sarfaraz Khan,All-Rounder ,40,28,441,0,1,50,11,23.21,138.24,6,0,4,1,1,0.2,0,6,0,0,0,,18,,1,ALL-ROUNDER,0.2,0.2,0,1
Saurabh Dubey,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Sean Abbott,Bowler ,2,2,15,0,0,1,1,7.5,115.38,,,0,1,2,5,0,57,0,0,0,,11.4,,2,BOWLER,0.75,2.4,1,0
Shahbaz Ahmed,All-Rounder ,13,8,60,0,0,4,2,8.57,111.11,5,0,0,0,8,20,0,136,9,1,0,15.11,6.8,13.33,8,,,,,
Shahbaz Nadeem,Bowler ,72,22,39,0,0,2,0,2.78,44.82,16,0,9,2,70,235.5,2,1784,48,1,0,37.16,7.56,29.47,70,BOWLER,0.5,0.5,1,1
Shahrukh Khan,All-Rounder ,11,10,153,0,0,9,10,21.85,134.21,4,0,1,1,,,,,,,,,,,,ALL-ROUNDER,0.4,9,0,1
